word,meaning,sound
carpenter,a person who makes and repairs wooden objects and structures.,https://quizlet.com/tts/en.mp3?v=14&b=YSBzdGF0ZSBvZiBncmVhdCBjb25mdXNpb24gb3IgZGlzb3JkZXI7IG1lbnRhbCBzdHJhaW4gb3IgYWdpdGF0aW9u&s=nFdle67r
bronze,a mixture of copper and tin,https://quizlet.com/tts/en.mp3?v=14&b=YSBoYXJib3IgYXQgdGhlIHNob3JlIG9mIHRoZSBvY2VhbiBvciBsYXJnZSBib2R5IG9mIHdhdGVyIGRldmVsb3BlZCB3aXRoIGZhY2lsaXRpZXMgdG8gbG9hZCBhbmQgdW5sb2FkIHNlYS1nb2luZyB2ZXNzZWxz&s=r9U2cXaa
stonemason,a craftsman who works with stone or brick,https://quizlet.com/tts/en.mp3?v=14&b=YWJsZSB0byBwcm92aWRlIHRoZXJlIG93biBuZWVkcw&s=cPlkEhQ.
sediment,small¸ solid pieces of material that come from rocks or living things,https://quizlet.com/tts/en.mp3?v=14&b=YW4gZXh0cmVtZSBzaG9ydGFnZSBvZiBmb29k&s=FQfIKClz
legal code,a written collection of laws¸ often organized by subject,https://quizlet.com/tts/en.mp3?v=14&b=QSBicmFuY2ggb2YgbWF0aGVtYXRpY3MgdGhhdCBpbnZvbHZlcyBleHByZXNzaW9ucyB3aXRoIHZhcmlhYmxlcw&s=2ez0IFMj
Ecosystem,A system formed by the interaction of a community of organisms with their physical environment,https://quizlet.com/tts/en.mp3?v=14&b=dGhlIHBlcnNwZWN0aXZlIGZyb20gd2hpY2ggYSBzdG9yeSBpcyB0b2xk&s=kYniB6e2
habitat,Place where an organism lives,https://quizlet.com/tts/en.mp3?v=14&b=Y29ubmVjdGl2ZSB0aXNzdWUgdGhhdCBpcyBtb3JlIGZsZXhpYmxlIHRoYW4gYm9uZSAobm9zZSBhbmQgZWFycyk&s=lmdEopJE
Biome,A group of ecosystems that share similar climates and typical organisms,https://quizlet.com/tts/en.mp3?v=14&b=QW4gb3JnYW5pc20ncyBwYXJ0aWN1bGFyIHJvbGUgaW4gYW4gZWNvc3lzdGVtLCBvciBob3cgaXQgbWFrZXMgaXRzIGxpdmluZy4&s=dCXW4Fs.
food web,network of complex interactions formed by the feeding relationships among the various organisms in an ecosystem,https://quizlet.com/tts/en.mp3?v=14&b=ZWFydGh3b3Jtcw&s=rJ9anu0B
food chain,A series of steps in which organisms transfer energy by eating and being eaten,https://quizlet.com/tts/en.mp3?v=14&b=U2hlbGxzIHNvZnQgYm9kaWVzLCBubyB2ZXJ0ZWJyYSAmSGFyZCBzaGVsbHMu&s=VGUrcqYM
Consumer,An organism that obtains energy by feeding on other organisms,https://quizlet.com/tts/en.mp3?v=14&b=QSBncm91cCBvZiBvcmdhbmlzbXMgdGhhdCBoYXZlIGpvaW50ZWQgYXBwZW5kYWdlcywgYW4gZXhvc2tlbGV0b24sIGJpbGF0ZXJhbCBzeW1tZXRyeSwgYW5kIHJlcHJvZHVjZSBzZXh1YWxseTsgaW5zZWN0cywgYXJhY2huaWRzLCBtaWxsaXBlZGVzIGFuZCBjZW5pdHBlZGVzLCBhbmQgY3J1c3RhY2VhbnM&s=jOhEXp8F
Decomposer,organism that breaks down and obtains energy from dead organic matter,https://quizlet.com/tts/en.mp3?v=14&b=QSBtZW1iZXIgb2YgYSBtYWpvciBhcnRocm9wb2QgZ3JvdXAgdGhhdCBpbmNsdWRlcyBzcGlkZXJzLCBzY29ycGlvbnMsIHRpY2tzLCBhbmQgbWl0ZXMuIEFsbCBtZW1iZXJzIGhhdmUgZWlnaHQgcGFpcnMgb2Ygd2Fsa2luZyBsZWdzLg&s=DIU692ti
energy pyramid,diagram that compares energy used by producers¸ primary consumers¸ and other trophic levels,https://quizlet.com/tts/en.mp3?v=14&b=YSBjcmVhdHVyZSB3aXRoIDEwMCBmZWV0&s=aVGXusOB
biotic factors,All the living organisms that inhabit an environment,https://quizlet.com/tts/en.mp3?v=14&b=YSBjcmVhdHVyZSB3aXRoIDEsMDAwIGZlZXQ&s=gK77KC7U
abiotic factors,Nonliving components of environment.,https://quizlet.com/tts/en.mp3?v=14&b=YSBjdXJ2ZWQgc3ltbWV0cmljYWwgc3RydWN0dXJlIHNwYW5uaW5nIGFuIG9wZW5pbmcgYW5kIHR5cGljYWxseSBzdXBwb3J0aW5nIHRoZSB3ZWlnaHQgb2YgYSBicmlkZ2UsIHJvb2YsIG9yIHdhbGwgYWJvdmUgaXQu&s=IslgbAnk
